iter	Passed	Remaining
871	1437	211
872	1438	209
873	1440	207
874	1441	205
875	1442	204
876	1443	202
877	1444	200
878	1445	199
879	1446	197
880	1448	195
881	1448	193
882	1450	192
883	1451	190
884	1452	188
885	1453	187
886	1455	185
887	1456	183
888	1457	181
889	1458	180
890	1460	178
891	1461	176
892	1462	175
893	1463	173
894	1464	171
895	1465	170
896	1466	168
897	1467	166
898	1468	165
899	1469	163
900	1471	161
901	1472	159
902	1473	158
903	1475	156
904	1476	154
905	1477	153
906	1478	151
907	1479	149
908	1480	148
909	1482	146
910	1483	144
911	1484	143
912	1485	141
913	1486	139
914	1488	138
915	1489	136
916	1490	134
917	1491	133
918	1492	131
919	1494	129
920	1495	128
921	1496	126
922	1497	124
923	1498	123
924	1500	121
925	1501	119
926	1503	118
927	1504	116
928	1505	115
929	1507	113
930	1508	111
931	1509	110
932	1510	108
933	1511	106
934	1512	105
935	1513	103
936	1514	101
937	1514	100
938	1515	98
939	1517	96
940	1519	95
941	1520	93
942	1521	91
943	1522	90
944	1524	88
945	1525	87
946	1526	85
947	1528	83
948	1529	82
949	1530	80
950	1532	78
951	1533	77
952	1535	75
953	1536	74
954	1538	72
955	1539	70
956	1540	69
957	1541	67
958	1542	65
959	1543	64
960	1544	62
961	1546	61
962	1548	59
963	1549	57
964	1550	56
965	1552	54
966	1553	53
967	1554	51
968	1556	49
969	1558	48
970	1560	46
971	1562	45
972	1563	43
973	1564	41
974	1566	40
975	1567	38
976	1569	36
977	1570	35
978	1571	33
979	1572	32
980	1573	30
981	1575	28
982	1577	27
983	1578	25
984	1580	24
985	1581	22
986	1582	20
987	1583	19
988	1584	17
989	1586	16
990	1587	14
991	1589	12
992	1590	11
993	1592	9
994	1593	8
995	1594	6
996	1595	4
997	1596	3
998	1598	1
999	1599	0
